1 E(0.214682)
2 E(0.343928)
3 E(0.165904)
4 E(0.227647)
5 E(0.0760485)
6 E(0.160812)
7 E(0.319202)
8 E(0.362959)
9 E(0.185049)
10 E(0.710473)
11 E(0.268264)
12 E(0.0957247)
13 E(0.409653)
14 E(0.177938)
15 E(0.0301575)
16 E(0.5055)
17 E(0.0649908)
18 E(0.222678)
19 E(0.2126)
20 E(0.0290336)
21 E(0.0485814)
22 E(0.133357)
23 E(0.178067)
24 E(0.154647)
25 E(0.207795)
26 E(0.326097)
27 E(0.0472826)
28 E(0.0174392)
29 E(0.346169)
30 E(0.228597)
31 E(0.385493)
32 E(0.112128)
33 E(0.0290224)
34 E(0.293494)
Control: 5

